"","Date","chamber","gCarbon_tree","gCarbon_la"
"1",2012-12-12,"C01",0.3576897919296,7.63985605030933
"2",2012-12-12,"C03",0.2828413194984,6.7769488515545
"3",2012-12-12,"C05",0.215174332854,7.86994894296031
"4",2012-12-12,"C07",0.4013641562112,7.18059431985838
"5",2012-12-12,"C09",0.2134089040824,7.47001589673014
"6",2012-12-12,"C11",0.2176938414144,7.220093571713
"7",2012-12-13,"C01",0.5203505098584,7.75805890091
"8",2012-12-13,"C03",0.5038052901804,7.08086157028849
"9",2012-12-13,"C05",0.2985745197708,6.8240816245892
"10",2012-12-13,"C07",0.5410384121376,6.51872603046326
"11",2012-12-13,"C09",0.4334709192372,7.69851798811286
"12",2012-12-13,"C11",0.377599833234,6.8983961175055
"13",2012-12-14,"C01",0.5101998349032,5.84250062569605
"14",2012-12-14,"C03",0.5425772710644,5.39530160484882
"15",2012-12-14,"C05",0.3401976486636,5.65442264285815
"16",2012-12-14,"C07",0.5537773449,5.02979147016517
"17",2012-12-14,"C09",0.4383170925588,5.21540396984596
"18",2012-12-14,"C11",0.4612032411948,5.81420226710296
"19",2012-12-15,"C01",0.487499179518,4.53154881699027
"20",2012-12-15,"C03",0.535511232126,4.11997442350413
"21",2012-12-15,"C05",0.3504685267044,4.57670008805427
"22",2012-12-15,"C07",0.5187943555236,3.78126250721449
"23",2012-12-15,"C09",0.4567341077676,4.08601594898348
"24",2012-12-15,"C11",0.4534808415228,4.36417823534853
"25",2012-12-16,"C01",0.6980063465232,5.46032977502248
"26",2012-12-16,"C03",0.8030936779164,5.0384263532586
"27",2012-12-16,"C05",0.4802614836552,5.16474093288319
"28",2012-12-16,"C07",0.7261784042292,4.41974449493448
"29",2012-12-16,"C09",0.700541853336,5.02119918550066
"30",2012-12-16,"C11",0.7110578937852,5.53369604646567
"31",2012-12-17,"C01",0.5678484564636,3.83459585985369
"32",2012-12-17,"C03",0.6456501198108,3.41960771540814
"33",2012-12-17,"C05",0.4086295247268,3.73517727749137
"34",2012-12-17,"C07",0.575528482386,3.00685996950829
"35",2012-12-17,"C09",0.5730063795144,3.42596786432575
"36",2012-12-17,"C11",0.585549009396,3.82506162892976
"37",2012-12-18,"C01",1.185377540022,7.04161202238586
"38",2012-12-18,"C03",1.4083071338232,6.45353085916402
"39",2012-12-18,"C05",0.896494502124,7.12566139881804
"40",2012-12-18,"C07",1.2767526395676,5.84307311688106
"41",2012-12-18,"C09",1.2301376235408,6.30869262031518
"42",2012-12-18,"C11",1.2822413372964,7.2170450461484
"43",2012-12-19,"C01",1.175062991076,6.23070558369931
"44",2012-12-19,"C03",1.4048437283712,5.67299098749963
"45",2012-12-19,"C05",0.8528439190284,5.99648726000637
"46",2012-12-19,"C07",1.2431498237496,5.0615007071089
"47",2012-12-19,"C09",1.2330787076712,5.53625560314916
"48",2012-12-19,"C11",1.2647630303568,6.25331854430122
"49",2012-12-20,"C01",1.0895947057476,5.21722553122266
"50",2012-12-20,"C03",1.300986532872,4.6958256379842
"51",2012-12-20,"C05",0.8132050058184,5.12624122896603
"52",2012-12-20,"C07",1.0978260228,4.02560470961934
"53",2012-12-20,"C09",1.1512221359184,4.59634028769066
"54",2012-12-20,"C11",1.2219802443576,5.3869480064771
"55",2012-12-21,"C01",1.0832879352204,4.72847166397197
"56",2012-12-21,"C03",1.287359913294,4.20065868158111
"57",2012-12-21,"C05",0.8232056431092,4.70275482913917
"58",2012-12-21,"C07",1.1169465287292,3.72548065909155
"59",2012-12-21,"C09",1.1722088163708,4.21351722249062
"60",2012-12-21,"C11",1.2059551840752,4.79643984340287
"61",2012-12-22,"C01",1.3656769797996,5.47689753622809
"62",2012-12-22,"C03",1.66167794286,4.9472267389518
"63",2012-12-22,"C05",1.0215268980228,5.33547685875456
"64",2012-12-22,"C07",1.4263401909744,4.36303572527372
"65",2012-12-22,"C09",1.5049560356532,4.91913755041265
"66",2012-12-22,"C11",1.5690709778796,5.684764333827
